"ModelObjectId","Zone","InheritedZoneHandle","ParentId","Block","Title","MechVentSetPointTemperature","MechVentTemperatureDifference","MinFreshAir","MinFreshAirPerArea","MechanicalVentilationOn","MechanicalVentilationRateType","MechanicalVentilationValue","EconomiserType","EconomiserMaxACH","EconomiserLockout","EconomiserUpperTemperature","EconomiserLowerTemperature","EconomiserUpperEnthalpy","HeatRecoveryOn","HeatRecoveryType","SensibleHeatRecoveryEffectiveness","LatentHeatRecoveryEffectiveness"
"Model Object Identifier","Zone","Inherited Zone Handle","Parent Identifier","Block","Identity - Identity - Name","Activity - Environmental Control > Ventilation Setpoint Temperatures > Mechanical Ventilation - Mech vent cooling (°C)","Activity - Environmental Control > Ventilation Setpoint Temperatures > Mechanical Ventilation - Delta T (deltaC)","Activity - Minimum Fresh Air - Fresh air (l/s-person)","Activity - Minimum Fresh Air - Mech vent per area (l/s-m2)","HVAC - Mechanical Ventilation - On","HVAC - Mechanical Ventilation - Outside air definition method","HVAC - Mechanical Ventilation - Outside air (ac/h)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Type","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Max outdoor air rate when economiser operates (ac/h)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Lockout","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Upper temperature limit (°C)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Lower temperature limit (°C)","HVAC - Mechanical Ventilation > Economiser (Free Cooling) - Upper enthalpy limit (J/kg)","HVAC - Mechanical Ventilation > Heat Recovery - On","HVAC - Mechanical Ventilation > Heat Recovery - Heat recovery type","HVAC - Mechanical Ventilation > Heat Recovery - Sensible heat recovery effectiveness","HVAC - Mechanical Ventilation > Heat Recovery - Latent heat recovery effectiveness"
"514","03XEVHall","0","0","Block 3","03XEVHall","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"521","NXEV","0","0","Block 3","NXEV","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"528","NXStairXDSPS","0","0","Block 3","NXStairXDSPS","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"537","05XOffice2","0","0","Block 3","05XOffice2","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"546","02XVending","0","0","Block 3","02XVending","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"554","NXWC","0","0","Block 3","NXWC","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"561","04XOffice1","0","0","Block 3","04XOffice1","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"586","NXMech","0","0","Block 4","NXMech","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"603","NXStair","0","0","Block 5","NXStair","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
"620","Pit","0","0","Block 6","Pit","10.0","-50.0","10.000","0.000","True","4-Min fresh air (Sum per person + per area)","3.000","1-None","15.0","1-No lockout","99.0","0.0","70000.0","False","1-Sensible","0.700","0.650"
