Date/Time,Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Other Equipment Total Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),BLOCK1:ZONE1_WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_FLOOR:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1_WALL_S_WIN_2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),BLOCK1:ZONE1:Zone Mean Air Temperature [C](Hourly:ON),BLOCK1:ZONE1:Zone Infiltration Air Change Rate [ach](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Heating Rate [W](Hourly),BLOCK1:ZONE1:Zone Air System Sensible Cooling Rate [W](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly) 
 07/22  04:00:00,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.343437818778587,0.507766540616447,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/22  05:00:00,14.75,15.25,200.0,52.69897945120334,6.823755855833968,6.823755855833968,6.823755855833968,6.823755855833968,3.0091973874248625,11.612942529929369,6.823755855833968,6.823755855833968,22.7848214402784,0.5082462084498185,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/22  06:00:00,83.25,158.5,200.0,360.89805949114858,290.0230013573029,122.26694877794118,46.73108042048825,46.73108042048825,22.58210552105829,110.03821984275629,46.73108042048825,46.73108042048825,22.711893884683648,0.5068853656005001,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/22  07:00:00,162.25,519.25,200.0,796.4570996458856,715.5958985332894,198.0585094103949,103.1296783016744,103.1296783016744,68.99241335326299,336.46108222713806,103.1296783016744,103.1296783016744,23.85872991948368,0.5022132747704105,0.0,0.0,720000.0,0.0,0.0,0.0 
 07/22  08:00:00,182.5,758.5,200.0,1073.2224161657028,915.6400705335302,150.58338958841029,136.24351504358897,154.78904143319887,116.42659043455402,571.1156781420359,154.78904143319887,154.78904143319887,26.00895304610821,0.5005439681591901,0.0,26.34033803023258,720000.0,94576.16542178912,0.0,0.0 
 07/22  09:00:00,187.75,870.75,200.0,1612.5451392950952,900.4521623081869,153.49612619268863,153.49612619268863,294.55251515783086,156.64792356244252,772.0221758351495,294.55251515783086,294.55251515783086,26.9964249939125,0.4986498938360151,0.0,696.0584258298128,720000.0,2500443.0223293278,0.0,0.0 
 07/22  10:00:00,184.75,895.75,200.0,2398.957110104556,724.1318248794853,161.64201652501334,161.64201652501334,413.83349716550188,182.18676255598917,900.5681428046626,413.83349716550188,413.83349716550188,26.999982878281999,0.4958980504911532,0.0,1937.0321287798784,720000.0,6973286.967186086,0.0,0.0 
 07/22  11:00:00,162.25,889.75,200.0,2941.0132675672077,479.8499781050789,152.42210705552089,152.42210705552089,470.3707608937424,192.22687130799219,951.6214526672604,470.3707608937424,470.3707608937424,26.999998940335204,0.49468294529336379,0.0,2882.390391451069,720000.0,10376603.415953048,0.0,0.0 
 07/22  12:00:00,134.75,880.75,200.0,3117.189076215514,224.25222815158987,142.13407811426533,142.13407811426533,481.38031096587897,192.37298247028765,952.7886742688122,481.38031096587897,481.38031096587897,26.999999914166904,0.49311619157707956,0.0,3430.5017522140849,720000.0,12349806.138714537,0.0,0.0 
 07/22  13:00:00,108.0,866.25,200.0,2903.212664065989,131.37490517317912,131.37490517317912,280.92977149925249,454.54582101544966,182.99870806736159,905.9512141021762,454.54582101544966,454.54582101544966,26.999999992167625,0.49212466511719546,0.0,3677.446573315363,720000.0,13238807.648156397,0.0,0.0 
 07/22  14:00:00,96.75,809.0,200.0,2291.324737871064,121.53717008727696,121.53717008727696,463.8363190515632,382.33090778349927,161.16615528934967,796.8705514835704,382.33090778349927,382.33090778349927,26.999999999291118,0.4923097888225037,0.0,3529.4694824411469,720000.0,12706090.135356838,0.0,0.0 
 07/22  15:00:00,128.25,623.25,200.0,1536.164187822194,111.96710314896805,111.96710314896805,554.8764675780157,270.99734628266148,122.80043904899407,606.4274935658652,270.99734628266148,270.99734628266148,26.99999999994374,0.4917458247629039,0.0,3050.95741625153,720000.0,10983446.69839391,0.0,0.0 
