Date/Time,WALL_S:Surface Outside Face Sunlit Area [m2](Hourly),WALL_S:Surface Outside Face Sunlit Fraction [](Hourly),WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_N:Surface Outside Face Sunlit Area [m2](Hourly),WALL_N:Surface Outside Face Sunlit Fraction [](Hourly),WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_W:Surface Outside Face Sunlit Area [m2](Hourly),WALL_W:Surface Outside Face Sunlit Fraction [](Hourly),WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_E:Surface Outside Face Sunlit Area [m2](Hourly),WALL_E:Surface Outside Face Sunlit Fraction [](Hourly),WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_E1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_E1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_E1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_E1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_E1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_E1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_E1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_W1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_W1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_W1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_W1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_W1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Air System Sensible Heating Energy [J](Hourly),ZONE1:Zone Air System Sensible Cooling Energy [J](Hourly) 
 01/26  14:00:00,21.6,1.0,625.4453831381433,0.0,0.0,68.04636348481977,10.2,0.9999999999999997,309.3723206110267,0.0,0.0,68.04636348481975,48.0,1.0,351.05406082937159,0.0,0.0,68.04636348481977,262.79513902934948,0.0,262.79513902934948,946062.500505658,0.0,946062.500505658,6.0,1.0,309.3723206110268,995.4359195203621,658.2227358421443,337.2131836782179,3583569.310273303,2369601.8490317196,1213967.4612415843,20.0,2763186.329525994,0.0 
 01/26  15:00:00,21.6,1.0,602.6240596833128,0.0,0.0,32.69447883607546,10.2,0.9999999999999997,465.62078631081996,0.0,0.0,32.69447883607546,48.0,1.0,295.27273149448765,0.0,0.0,32.69447883607546,126.26611726481643,0.0,126.26611726481643,454558.0221533391,0.0,454558.0221533391,6.0,1.0,465.62078631082,1828.75157251621,1694.8633819405093,133.88819057570073,6583505.661058356,6101508.174985833,481997.4860725226,20.025397363546955,714304.4638201849,0.0 
 01/26  16:00:00,21.6,1.0,402.75552913249347,0.0,0.0,15.386122735338012,10.2,0.9999999999999997,466.40654419631547,0.0,0.0,15.386122735338012,48.0,1.0,153.86060474244725,0.0,0.0,15.386122735338012,59.4212248279486,0.0,59.4212248279486,213916.40938061497,0.0,213916.40938061497,6.0,1.0,466.40654419631559,1998.7947377671222,1939.3735129391735,59.4212248279486,7195661.055961639,6981744.646581024,213916.40938061497,20.870199574518919,0.0,0.0 
 01/26  17:00:00,21.6,1.0,164.533096784464,0.0,0.0,3.1421137199976796,10.2,0.9999999999999997,278.0338046625315,0.0,0.0,3.1421137199976796,48.0,1.0,31.420823730351793,0.0,0.0,3.1421137199976796,12.134847030834005,0.0,12.134847030834005,43685.44931100241,0.0,43685.44931100241,6.0,1.0,278.03380466253159,1227.3185850353949,1215.1837380045609,12.134847030834005,4418346.906127421,4374661.456816419,43685.44931100241,20.856252370493615,0.0,0.0 
 01/26  18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00038372310185,1840658.1863575788,0.0 
 01/26  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000029837,3962009.9116461866,0.0 
 01/26  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5433226.6638695,0.0 
 01/26  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000005,6484314.563890249,0.0 
 01/26  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7150275.811624572,0.0 
 01/26  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7528323.40685679,0.0 
 01/26  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7742053.45814513,0.0 
 01/27  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.999999999999998,7871247.613150139,0.0 
 01/27  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8064490.593005254,0.0 
 01/27  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8161560.9080148939,0.0 
 01/27  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8039501.621981321,0.0 
 01/27  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,7982686.698514822,0.0 
 01/27  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8000611.460378462,0.0 
