Date/Time,EAST WINDOW OVERHANG:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),Mir-EAST WINDOW OVERHANG:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WINDOW LEFT FIN:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),Mir-EAST WINDOW LEFT FIN:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),EAST WINDOW RIGHT FIN:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),Mir-EAST WINDOW RIGHT FIN:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WINDOW OVERHANG:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),Mir-WEST WINDOW OVERHANG:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WINDOW LEFT FIN:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),Mir-WEST WINDOW LEFT FIN:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WEST WINDOW RIGHT FIN:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),Mir-WEST WINDOW RIGHT FIN:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE NORTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE EAST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE SOUTH:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE WEST:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SURFACE ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1 EAST WINDOW:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 1 EAST WINDOW:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1 EAST WINDOW:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1 EAST WINDOW:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 1 EAST WINDOW:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1 EAST WINDOW:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 1 EAST WINDOW:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2 WEST WINDOW:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ZONE SUBSURFACE 2 WEST WINDOW:Surface Window Transmitted Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2 WEST WINDOW:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2 WEST WINDOW:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),ZONE SUBSURFACE 2 WEST WINDOW:Surface Window Transmitted Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2 WEST WINDOW:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),ZONE SUBSURFACE 2 WEST WINDOW:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE ONE:Zone Mean Air Temperature [C](Hourly),ZONE ONE:Zone Air System Sensible Heating Energy [J](Hourly),ZONE ONE:Zone Air System Sensible Cooling Energy [J](Hourly) 
 08/02  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.99959200788871,0.0,0.0 
 08/02  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59500949205263,0.0,0.0 
 08/02  06:00:00,0.0,66.03619084247998,42.061358441661578,16.111807943990156,7.317737918374086,51.904827778963127,0.0,66.03619084247998,7.317738621261572,17.161207958563126,7.317737918374085,16.111807943990148,64.98412636087451,130.10304218643408,29.19110652590153,22.63933059631963,66.03619084247998,132.8252363263125,553.1487217339451,297.16237715393609,255.98634458000908,1991335.3982422024,1069784.5577541698,921550.8404880327,20.238762023042349,78.16212369399949,0.0,78.16212369399949,281383.64529839818,0.0,281383.64529839818,21.542683777960457,0.0,0.0 
 08/02  07:00:00,0.0,276.8079780796579,98.56612662576076,43.83478654607344,20.824396344385524,126.31296279747639,0.0,276.8079780796579,20.824398970211047,48.571235141926688,20.82439634438552,43.834786546073427,172.26955119883918,527.4170989234774,89.79137494743623,72.04161206557055,276.8079780796579,569.0337424472609,2426.188191894649,1701.208301898463,724.9798899961863,8734277.490820736,6124349.886834467,2609927.60398627,66.48787566731603,256.7762571714261,0.0,256.7762571714261,924394.525817134,0.0,924394.525817134,23.950743230766699,0.0,0.0 
 08/02  08:00:00,0.0,487.63582609074219,38.75007078206245,68.19006696001877,39.116389202293508,67.30140730253396,0.0,487.63582609074219,26.202968630908573,54.75430515138008,26.202964828155595,55.27664258588084,138.93971751153127,680.1264749401468,139.82837716901609,103.56746637628388,487.63582609074219,748.6602215039911,3190.8454130821785,2332.673388459355,858.1720246228231,11487043.48709584,8397624.198453678,3089419.2886421636,97.59786121738051,376.9230594271279,0.0,376.9230594271279,1356923.0139376606,0.0,1356923.0139376606,26.912500152665893,0.0,2831354.8521470066 
 08/02  09:00:00,0.0,634.8464128410176,28.63003085013662,171.03409707905963,124.35412416628134,56.248539429290008,0.0,634.8464128410176,28.630030850136614,56.24853942929001,28.630025993129484,75.30999890590776,144.55589875645632,631.4683597237673,259.341456406226,121.93671925931845,634.8464128410176,601.4705895897189,2502.9180437936786,1684.4801327966387,818.4379109970398,9010504.957657243,6064128.478067899,2946376.4795893437,116.84794310248643,451.2668992188212,0.0,451.2668992188212,1624560.8371877566,0.0,1624560.8371877566,26.99999943734924,0.0,7110792.38570096 
 08/02  10:00:00,0.0,718.8671306411696,27.392372959486896,257.3165368021373,178.8828881230531,52.7861894290464,0.0,718.8671306411696,27.392372959486889,52.78618942904641,27.392367992471298,105.82621436561399,148.34470793081938,487.17355622286217,352.87505530391027,127.1610629291894,718.8671306411696,355.27369565698646,1398.4890185283405,736.1195165261413,662.3695020021992,5034560.466702025,2650030.259494109,2384530.207207917,122.94576565442022,474.8166973747393,0.0,474.8166973747393,1709340.1105490614,0.0,1709340.1105490614,26.999999999264128,0.0,7679163.808637677 
 08/02  11:00:00,0.0,725.415552337985,27.559410483870125,295.87108557235737,157.71146108080019,52.954373364116779,0.0,725.415552337985,27.559410483870118,52.954373364116779,27.559405438852378,165.71891314698278,149.30052012693765,315.3988987449833,392.2172323351782,128.05595223095214,725.415552337985,151.05920867662926,573.2949770440738,70.74207236374274,502.552904680331,2063861.9173586656,254671.46050947387,1809190.4568491916,123.91239731392237,478.5498300263572,0.0,478.5498300263572,1722779.388094886,0.0,1722779.388094886,26.999999999999127,0.0,6504532.046419986 
 08/02  12:00:00,0.0,604.5537925800264,33.26862345928295,254.94154344168329,68.00508094907542,67.31957939044846,0.0,604.5537925800264,33.268623459282938,67.31957939044847,33.268618423081779,220.20516106005784,156.76750410798037,172.22651418979585,344.38946815921528,129.61424320221293,604.5537925800264,122.45980062307447,472.9398998291306,0.0,472.9398998291306,1702583.6393848703,0.0,1702583.6393848703,122.45980062307446,472.9398998291306,0.0,472.9398998291306,1702583.6393848703,0.0,1702583.6393848703,27.0,0.0,5618139.935092723 
 08/02  13:00:00,0.0,449.0766865727909,37.851767313073008,162.3482836683915,37.85176285725557,80.69827759702852,0.0,449.0766865727909,54.420101457182429,80.69827759702852,37.851762857255568,178.9165291457624,158.90269513242698,126.18604193672819,257.1209466811609,146.49900608791138,449.0766865727909,115.44368628665524,445.8436576780503,0.0,445.8436576780503,1605037.167640981,0.0,1605037.167640981,115.44368628665522,445.84365767805027,0.0,445.84365767805027,1605037.167640981,0.0,1605037.167640981,27.0,0.0,4981068.086810645 
