Date/Time,WALL_S:Surface Outside Face Sunlit Area [m2](Hourly),WALL_S:Surface Outside Face Sunlit Fraction [](Hourly),WALL_S:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_N:Surface Outside Face Sunlit Area [m2](Hourly),WALL_N:Surface Outside Face Sunlit Fraction [](Hourly),WALL_N:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_W:Surface Outside Face Sunlit Area [m2](Hourly),WALL_W:Surface Outside Face Sunlit Fraction [](Hourly),WALL_W:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WALL_E:Surface Outside Face Sunlit Area [m2](Hourly),WALL_E:Surface Outside Face Sunlit Fraction [](Hourly),WALL_E:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),ROOF:Surface Outside Face Sunlit Area [m2](Hourly),ROOF:Surface Outside Face Sunlit Fraction [](Hourly),ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S1:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_S1:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_S1:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S1:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_S1:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_S1:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_S1:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Outside Face Sunlit Area [m2](Hourly),WINDOW_S2:Surface Outside Face Sunlit Fraction [](Hourly),WINDOW_S2:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),WINDOW_S2:Surface Window Transmitted Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Beam Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Diffuse Solar Radiation Rate [W](Hourly),WINDOW_S2:Surface Window Transmitted Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Window Transmitted Beam Solar Radiation Energy [J](Hourly),WINDOW_S2:Surface Window Transmitted Diffuse Solar Radiation Energy [J](Hourly),ZONE1:Zone Mean Air Temperature [C](Hourly),ZONE1:Zone Air System Sensible Heating Energy [J](Hourly),ZONE1:Zone Air System Sensible Cooling Energy [J](Hourly) 
 03/17  11:00:00,9.600000000000002,1.0,737.6708131568023,0.0,0.0,142.7165168079633,0.0,0.0,142.7165168079633,16.200000000000004,1.0,486.22360857964886,48.0,1.0,740.638820302352,6.0,1.0,737.6708131568023,2967.399522708798,2085.4535431514416,881.9459795573569,10682638.281751674,7507632.755345188,3175005.5264064848,6.0,1.0,737.6708131568023,2967.399522708798,2085.4535431514416,881.9459795573569,10682638.281751674,7507632.755345188,3175005.5264064848,26.999999045924985,0.0,9538537.958492393 
 03/17  12:00:00,9.600000000000002,1.0,641.2681028197819,0.0,0.0,147.75846918517113,0.0,0.0,147.75846918517113,16.200000000000004,1.0,227.5554568604756,48.0,1.0,653.997438674994,6.0,1.0,641.2681028197819,2597.503266818485,1596.6308806787839,1000.8723861397011,9351011.760546545,5747871.170443621,3603140.590102924,6.0,1.0,641.2681028197819,2597.503266818485,1596.6308806787839,1000.8723861397011,9351011.760546545,5747871.170443621,3603140.590102924,26.999999908744138,0.0,13171803.155333262 
 03/17  13:00:00,9.600000000000002,1.0,485.0571955554635,0.0,0.0,157.05515246234888,16.200000000000004,1.0,232.61966369603813,0.0,0.0,157.05515246234888,48.0,1.0,529.1146362544354,6.0,1.0,485.0571955554635,1939.1627291047255,886.9203552960845,1052.2423738086409,6980985.824777012,3192913.279065904,3788072.5457111077,6.0,1.0,485.0571955554635,1939.1627291047255,886.9203552960845,1052.2423738086409,6980985.824777012,3192913.279065904,3788072.5457111077,26.99999999135732,0.0,11816251.407985196 
 03/17  14:00:00,9.600000000000002,1.0,312.0224425509357,0.0,0.0,152.81622851427648,16.200000000000004,1.0,259.27051296293578,0.0,0.0,152.81622851427648,48.0,1.0,396.16256517841136,6.0,1.0,312.0224425509357,1222.1596072262947,340.984140950276,881.1754662760184,4399774.58601466,1227542.9074209936,3172231.6785936665,6.0,1.0,312.0224425509357,1222.1596072262947,340.984140950276,881.1754662760184,4399774.58601466,1227542.9074209936,3172231.6785936665,26.999999999427346,0.0,8066256.912244168 
 03/17  15:00:00,9.600000000000002,1.0,199.69410538707917,0.0,0.0,123.11659597513898,16.200000000000004,1.0,215.16376995211909,0.0,0.0,123.11659597513898,48.0,1.0,288.2756439397125,6.0,1.0,199.69410538707917,768.931906314355,155.99307457197538,612.9388317423798,2768154.8627316786,561575.0684591113,2206579.794272567,6.0,1.0,199.69410538707917,768.931906314355,155.99307457197538,612.9388317423798,2768154.8627316786,561575.0684591113,2206579.794272567,26.999999999981044,0.0,4257551.961779336 
 03/17  16:00:00,9.600000000000002,1.0,115.88916494551175,0.0,0.0,84.29684631095989,16.200000000000004,1.0,147.60624473396465,0.0,0.0,84.29684631095989,48.0,1.0,178.99663031455914,6.0,1.0,115.88916494551175,439.5023921765424,42.33552147673589,397.1668706998065,1582208.6118355527,152407.87731624919,1429800.7345193034,6.0,1.0,115.88916494551175,439.5023921765424,42.33552147673589,397.1668706998065,1582208.6118355527,152407.87731624919,1429800.7345193034,26.999999999999873,0.0,851567.2880517653 
 03/17  17:00:00,9.600000000000002,1.0,46.322824104752609,0.0,0.0,41.58230329946669,16.200000000000004,1.0,58.54219469741612,0.0,0.0,41.58230329946669,48.0,1.0,83.33540990362975,6.0,1.0,46.322824104752609,174.29182328084074,6.032023320468582,168.25979996037214,627450.5638110265,21715.283953686896,605735.2798573397,6.0,1.0,46.322824104752609,174.29182328084074,6.032023320468582,168.25979996037214,627450.5638110265,21715.283953686896,605735.2798573397,25.39691541815663,0.0,0.0 
 03/17  18:00:00,9.600000000000002,1.0,11.26746496105405,0.0,0.0,10.78165530508202,16.200000000000004,1.0,17.943643095359119,0.0,0.0,10.78165530508202,48.0,1.0,21.227323444149197,6.0,1.0,11.26746496105405,42.60545350929492,0.24745590123539508,42.35799760805952,153379.6326334617,890.8412444474222,152488.79138901429,6.0,1.0,11.26746496105405,42.60545350929492,0.24745590123539508,42.35799760805952,153379.6326334617,890.8412444474222,152488.79138901429,22.63182128008363,0.0,0.0 
 03/17  19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.276123567316167,492133.54874861767,0.0 
 03/17  20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000001964458194,2707566.1522344036,0.0 
 03/17  21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000012340025,4439607.938633764,0.0 
 03/17  22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000114917,5482877.552696315,0.0 
 03/17  23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.00000000000128,6154001.751808453,0.0 
 03/17  24:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.000000000000015,6536978.398021116,0.0 
 03/18  01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6731715.587738022,0.0 
 03/18  02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6851126.646758867,0.0 
 03/18  03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6910565.381280525,0.0 
 03/18  04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6936029.491114482,0.0 
 03/18  05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6986129.781839205,0.0 
 03/18  06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6938173.715037613,0.0 
 03/18  07:00:00,9.600000000000002,1.0,91.38576531229026,0.0,0.0,47.2430383283659,0.0,0.0,47.2430383283659,16.200000000000004,1.0,370.2734679709496,48.0,1.0,116.89699773285985,6.0,1.0,91.38576531229026,295.9609250634678,27.158230088155525,268.8026949753123,1065459.3302284843,97769.62831735988,967689.7019111242,6.0,1.0,91.38576531229026,295.9609250634678,27.158230088155525,268.8026949753123,1065459.3302284843,97769.62831735988,967689.7019111242,20.0,5987865.439726409,0.0 
 03/18  08:00:00,9.600000000000002,1.0,318.02938325890985,0.0,0.0,107.4749976257044,0.0,0.0,107.4749976257044,16.200000000000004,1.0,786.4390966387944,48.0,1.0,350.8680990843527,6.0,1.0,318.02938325890985,985.2501756367116,400.9390241013775,584.3111515353339,3546900.6322921619,1443380.486764959,2103520.145527202,6.0,1.0,318.02938325890985,985.2501756367116,400.9390241013775,584.3111515353339,3546900.6322921619,1443380.486764959,2103520.145527202,20.0,3296798.418992146,0.0 
 03/18  09:00:00,9.600000000000002,1.0,523.8750353796584,0.0,0.0,133.9924512283129,0.0,0.0,133.9924512283129,16.200000000000004,1.0,846.6778110761352,48.0,1.0,547.0471260931022,6.0,1.0,523.8750353796584,1859.8140216850425,1091.5987823544666,768.215239330576,6695330.478066153,3929755.6164760796,2765574.8615900736,6.0,1.0,523.8750353796584,1859.8140216850425,1091.5987823544666,768.215239330576,6695330.478066153,3929755.6164760796,2765574.8615900736,20.393353577979267,559148.319665867,0.0 
 03/18  10:00:00,9.600000000000002,1.0,692.5654415628347,0.0,0.0,141.79854349533844,0.0,0.0,141.79854349533844,16.200000000000004,1.0,740.8112684851574,48.0,1.0,704.0016403333378,6.0,1.0,692.5654415628347,2672.751347894499,1816.594735605665,856.1566122888339,9621904.852420196,6539741.048180394,3082163.804239802,6.0,1.0,692.5654415628347,2672.751347894499,1816.594735605665,856.1566122888339,9621904.852420196,6539741.048180394,3082163.804239802,24.093836920492877,0.0,0.0 
 03/18  11:00:00,9.600000000000002,1.0,759.068048768705,0.0,0.0,145.51058846326914,0.0,0.0,145.51058846326914,16.200000000000004,1.0,501.3568090012064,48.0,1.0,771.5484937121778,6.0,1.0,759.068048768705,3048.525932261372,2159.634544847775,888.8913874135969,10974693.356140938,7774684.361451989,3200008.9946889497,6.0,1.0,759.068048768705,3048.525932261372,2159.634544847775,888.8913874135969,10974693.356140938,7774684.361451989,3200008.9946889497,26.918018878720426,0.0,3291678.699075318 
 03/18  12:00:00,9.600000000000002,1.0,657.4000572668236,0.0,0.0,145.88547836387819,0.0,0.0,145.88547836387819,16.200000000000004,1.0,228.41190686731847,48.0,1.0,675.5864418268363,6.0,1.0,657.4000572668236,2663.060072496079,1689.5650620036732,973.4950104924058,9587016.260985885,6082434.223213224,3504582.0377726608,6.0,1.0,657.4000572668236,2663.060072496079,1689.5650620036732,973.4950104924058,9587016.260985885,6082434.223213224,3504582.0377726608,26.999999999319458,0.0,7292428.030586376 
 03/18  13:00:00,9.600000000000002,1.0,491.38989177810319,0.0,0.0,156.5939999643518,16.200000000000004,1.0,234.83046063614939,0.0,0.0,156.5939999643518,48.0,1.0,539.1617375146907,6.0,1.0,491.38989177810319,1964.2036260010462,924.0206738888418,1040.1829521122045,7071133.0536037669,3326474.4259998307,3744658.627603936,6.0,1.0,491.38989177810319,1964.2036260010462,924.0206738888418,1040.1829521122045,7071133.0536037669,3326474.4259998307,3744658.627603936,26.999999999967778,0.0,6902345.929311626 
