Date/Time,BLOCK1:ZONEA:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEB:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEC:Zone Mean Air Temperature [C](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEA:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEB:Zone Air System Sensible Cooling Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Heating Energy [J](Hourly),BLOCK1:ZONEC:Zone Air System Sensible Cooling Energy [J](Hourly) 
 06/01  12:00:00,24.982903702963946,19.914189959228425,14.46125617332207,0.0,0.0,0.0,0.0,0.0,0.0 
 06/01  13:00:00,26.2699455587219,20.764478181451176,14.946029813728494,0.0,0.0,0.0,0.0,0.0,155270.00422095636 
 06/01  14:00:00,27.521018412017616,21.57451563590155,14.99999991578714,0.0,0.0,0.0,0.0,0.0,796286.4110036168 
 06/01  15:00:00,28.711620893212989,22.313452950946205,14.999999999999405,0.0,0.0,0.0,0.0,0.0,1280765.4443667927 
 06/01  16:00:00,29.83252726913714,22.999199168251395,15.0,0.0,0.0,0.0,0.0,0.0,1598856.4947117207 
 06/01  17:00:00,30.672140325160659,23.510289871405463,15.0,0.0,0.0,0.0,0.0,0.0,1854446.3730455628 
 06/01  18:00:00,31.303071518885088,23.893886867218769,15.0,0.0,0.0,0.0,0.0,0.0,2057150.7197691245 
 06/01  19:00:00,31.644265232202597,24.111019450452017,15.0,0.0,0.0,0.0,0.0,0.0,2155012.334178956 
 06/01  20:00:00,31.32877343603377,23.949758917711614,15.000000000000002,0.0,0.0,0.0,0.0,0.0,2054468.5893621892 
 06/01  21:00:00,30.47170461420993,23.45812918382407,15.0,0.0,0.0,0.0,0.0,0.0,1798884.5237902778 
 06/01  22:00:00,29.421612383567014,22.83135692821341,15.0,0.0,0.0,0.0,0.0,0.0,1498943.3417037682 
 06/01  23:00:00,28.680021255564705,22.37960824025817,15.0,0.0,0.0,0.0,0.0,0.0,1180529.049327738 
 06/01  24:00:00,28.19435462142268,22.082081060276395,15.0,0.0,0.0,0.0,0.0,0.0,975847.424622566 
 06/02  01:00:00,27.80012732998864,21.841039270151318,15.0,0.0,0.0,0.0,0.0,0.0,812417.7032778217 
 06/02  02:00:00,27.265768476519729,21.51011118893683,15.0,0.0,0.0,0.0,0.0,0.0,549119.52111899 
 06/02  03:00:00,26.597838583972114,21.08935774052683,15.0,0.0,0.0,0.0,0.0,0.0,184819.5646735971 
 06/02  04:00:00,25.916777337942848,20.652950976897068,14.882257751007744,0.0,0.0,0.0,0.0,0.0,0.0 
 06/02  05:00:00,25.389672977969206,20.3066961543869,14.678390535697082,0.0,0.0,0.0,0.0,0.0,0.0 
